Date,Open,High,Low,Close,Adj Close,Volume,ds,trend,yearly,weekly,LR_KMeans_Prediction,Random_Forest_Prediction,Residual_Cluster,Prophet_Forecast
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,2010-07-09,2.447736222003141,-8.002419925538014,-1.591550566494841,2.9040004257050414,3.5051409984472066,0,-7.146234270029715
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,2010-07-12,2.4729204808404996,-7.7064337644748235,0.09055894212278033,3.7263923738985034,3.506464331780539,0,-5.142954341511544
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,2010-07-13,2.481315233786286,-7.759206270931218,-0.1441188572434875,3.544938494473991,3.6001942701199767,0,-5.42200989438842
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,2010-07-14,2.489709986732072,-7.882874154995401,0.0070378052814860145,3.847114283017758,3.8224681803733658,0,-5.386126362981843
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,2010-07-15,2.498104739677858,-8.07177431020006,-0.7764225259003324,3.7974653983100293,3.920781923898143,0,-6.350092096422536
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,2010-07-16,2.5064994926236444,-8.318578019003787,-1.5915505664936016,3.388731211274617,4.0298842764689065,0,-7.403629092873745
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,2010-07-19,2.531683751461003,-9.312488403800495,0.09055894212380693,4.353859794699013,4.193881702686444,0,-6.6902457102156845
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,2010-07-20,2.540078504406789,-9.691904697223679,-0.14411885724381385,4.474903407875761,4.176383513016145,0,-7.295945050060704
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,2010-07-21,2.548473257352575,-10.07567254161777,0.007037805282797016,4.235101611339555,4.087217210089137,0,-7.520161478982397
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,2010-07-22,2.556868010298361,-10.45172577500103,-0.7764225259010542,3.8231977509053987,4.0960889783703545,0,-8.671280290603724
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,2010-07-23,2.5652627632441476,-10.808287535315909,-1.5915505664923617,3.540818080022113,4.17298787248089,0,-9.834575338564125
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,2010-07-26,2.5904470220815057,-11.654026213477263,0.09055894212236948,4.424835044507562,4.173671951866283,0,-8.973020249273386
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500,2010-07-27,2.598841775027292,-11.831138428447368,-0.14411885724524945,4.226725476207061,4.149910246315242,0,-9.376415510665325
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,2010-07-28,2.607236527973078,-11.944336818664059,0.007037805281944562,4.217404959860927,4.147769206511652,0,-9.330062485409034
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,2010-07-29,2.615631280918864,-11.989216733442097,-0.7764225259031511,3.8683382176948045,4.136777089974796,0,-10.150007978426386
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,2010-07-30,2.62402603386465,-11.963196582683087,-1.5915505664941818,3.3854150288625577,4.08929103163429,0,-10.930721115312618
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,2010-08-02,2.6492102927020085,-11.461743155484745,0.09055894212093192,4.163148424501751,4.07684892855298,0,-8.721973920661805
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,2010-08-03,2.6576050456477947,-11.163069476165651,-0.14411885724668494,4.240161874323254,4.223458852689098,0,-8.64958328776454
